beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,beschreibung_quelle
Umweltingenieur/in,2143,6.0,35.0,Umwelt,105000,Tertiär,http://data.europa.eu/esco/occupation/ac1fc6a9-70d2-475c-8fa0-82ef83830968,Umweltingenieur/Umweltingenieurin,"Umweltingenieure/Umweltingenieurinnen lassen Umwelt- und Nachhaltigkeitsmaßnahmen in die Planung verschiedenster Projekte einfließen. Sie sind bestrebt, natürliche Ressourcen und naturbelassene Flächen zu erhalten. Sie arbeiten mit Ingenieuren/Ingenieurinnen aus anderen Bereichen zusammen, um alle potenziellen Auswirkungen von Projekten abzuwägen, um Wege zur Erhaltung der natürlichen Ressourcen zu entwickeln, Umweltverschmutzung zu verhindern und sanitäre Maßnahmen zu ergreifen.",ESCO
Statistiker/in / Aktuar/in,2120,6.0,38.0,Finanzen,125000,Tertiär,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,Aktuar/Aktuarin,"Aktuare/Aktuarinnen analysieren und verwalten die finanziellen Auswirkungen von Risiken und legen Leitlinien dazu vor. Sie sind u. a. in den Bereichen Versicherung, Altersversorgung, Investitionen, Bankenwesen, Gesundheitsversorgung usw. tätig. Aktuare/Aktuarinnen wenden technische und statistische Modelle und Theorien für strategische, kommerzielle und finanzielle Beratung an.",ESCO
Geistliche Seelsorger,2636,5.9,27.5,Medien,88000,Tertiär,http://data.europa.eu/esco/occupation/a4dd6eae-ca75-456f-829d-333671a7c186,Seelsorger/Seelsorgerin,"Seelsorger üben in säkularen Einrichtungen religiöse Aktivitäten aus. Sie erbringen Beratungsdienste und bieten Menschen in solchen Einrichtungen spirituelle und emotionale Unterstützung. Dabei arbeiten sie auch mit Priestern oder anderen Vertretern der Religion zusammen, um religiöse Aktivitäten in der Gemeinschaft zu ermöglichen.",ESCO
Techniker für Rundfunk und audiovisuelle Medien,3521,5.7,21.7,ICT,85000,Sekundär II,http://data.europa.eu/esco/occupation/4cc98057-8ed5-4b45-855b-7a67bc2e5bae,Auslandskorrespondent/Auslandskorrespondentin,"Auslandskorrespondenten recherchieren und verfassen Nachrichten von internationaler Bedeutung für Zeitungen, Zeitschriften, Rundfunk, Fernsehen und andere Medien. Sie sind im Ausland stationiert.",ESCO
"Übersetzer, Dolmetscher und andere Linguisten",2643,5.7,77.3,Medien,88000,Tertiär,http://data.europa.eu/esco/occupation/1a07bd7d-2e1d-4930-a84a-1a442b8f2a44,Übersetzer/Übersetzerin,"Übersetzer übertragen schriftliche Dokumente aus einer oder mehreren Sprachen in eine andere Sprache. Dabei sorgen sie dafür, dass die Botschaft und die Nuancen in der Übersetzung erhalten bleiben. Übersetzer stützen sich auch auf ihr Wissen über die zu übersetzenden Inhalte. Übersetzt werden kommerzielle und industrielle Dokumentationen, persönliche Unterlagen, journalistische Texte, Romane, kreative Texte und wissenschaftliche Texte in jedem beliebigem Format.",ESCO
Datenbankentwickler und -administratoren,2521,5.6,29.0,ICT,120000,Tertiär,http://data.europa.eu/esco/occupation/b11e1742-5e28-4270-b081-b0193d85ee7d,Datenbankentwickler/Datenbankentwicklerin,"Datenbankentwickler programmieren, implementieren und koordinieren Computerdatenbanken auf der Grundlage ihres Fachwissens über Datenbankmanagementsysteme.",ESCO
Produkt- und Textildesigner,2163,5.3,49.3,Industrie,115000,Tertiär,http://data.europa.eu/esco/occupation/0f7c84c5-1c0d-4fc1-8949-07dbe8bd34ef,Textildesigner/Textildesignerin,Textildesigner/Textildesignerinnen konzipieren Textilprodukte unter Berücksichtigung der visuellen Botschaft und Funktionalität.,ESCO
Reiseverkehrsfachkräfte,4221,5.3,77.2,Verwaltung,68000,Sekundär II,http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31,Reisevermittler/Reisevermittlerin,Reisevermittler entwerfen und vermarkten Reiserouten für potenzielle Reisende oder Besucher.,ESCO
Feuerwehrmann/-frau,5411,5.0,8.0,Öff. Verwaltung,88000,Sekundär II,http://data.europa.eu/esco/occupation/88721b6c-d2ce-41c6-8878-73c0d3aacf39,Berufsfeuerwehrmann/Berufsfeuerwehrfrau,"Berufsfeuerwehrleute sind für Notfalleinsätze im Falle eines Brandausbruchs oder anderer gefährlicher Situationen verantwortlich. Sie überwachen die Evakuierung der gefährdeten Gebäude und sorgen dafür, dass die Betroffenen gerettet und von den zuständigen Fachkräften betreut werden. Im Anschluss an die Personenrettung stellen sie sicher, dass das Feuer entsprechend den Gesundheits- und Sicherheitsvorschriften gelöscht wird. Sie regeln auch die Beseitigung des Brandschutts und die Schadensbewertung.",ESCO
Notar/in,2619,4.0,30.0,Recht,145000,Tertiär,http://data.europa.eu/esco/occupation/d21890a3-cbe9-49df-9a19-a4120d866548,Notar/Notarin,"Notare gewährleisten die Echtheit und Rechtmäßigkeit amtlicher Dokumente wie Erklärungen, Bescheinigungen, Verträge, Urkunden und Kaufbelege. Sie prüfen die Dokumente und beglaubigen die Echtheit der Unterschrift. Sie nehmen Vereidigungen vor und stellen Erklärungen und sonstige notarielle Beurkundungen aus.",ESCO
